cat,date,fcst
hw-3,2048-02-01,558.4763419150355
hw-3,2048-03-01,558.9773152510386
hw-3,2048-04-01,556.5811617801927
hw-3,2048-05-01,556.5811617801927
hw-3,2048-06-01,555.0574264162643
hw-3,2048-07-01,561.1468042852761
hw-3,2048-08-01,563.825870988516
hw-3,2048-09-01,563.4163274371406
hw-3,2048-10-01,563.7271899151181
hw-3,2048-11-01,561.2641634653253
hw-3,2048-12-01,561.9660669163932
hw-3,2049-01-01,561.8678529506378
hw-3,2049-02-01,566.9463888549068
hw-3,2049-03-01,558.2980606002146
hw-3,2049-04-01,559.6318130972969
hw-3,2049-05-01,575.4700356396143
hw-3,2049-06-01,573.7071301887498
hw-3,2049-07-01,581.0772103627622
hw-3,2049-08-01,577.8582555968537
hw-3,2049-09-01,575.2343566682714
hw-3,2049-10-01,573.7220602411087
hw-3,2049-11-01,570.6026110339452
hw-3,2049-12-01,574.8983218060831
hw-3,2050-01-01,573.313484908549
hw-4,2048-02-01,9.435298897493224e-20
hw-4,2048-03-01,9.435298897493224e-20
hw-4,2048-04-01,9.435298897493224e-20
hw-4,2048-05-01,9.435298897493224e-20
hw-4,2048-06-01,9.435298897493224e-20
hw-4,2048-07-01,9.435298897493224e-20
hw-4,2048-08-01,9.435298897493224e-20
hw-4,2048-09-01,9.435298897493224e-20
hw-4,2048-10-01,9.435298897493224e-20
hw-4,2048-11-01,9.435298897493224e-20
hw-4,2048-12-01,9.435298897493224e-20
hw-4,2049-01-01,9.435298897493224e-20
hw-4,2049-02-01,9.435298897493224e-20
hw-4,2049-03-01,9.435298897493224e-20
hw-4,2049-04-01,9.435298897493224e-20
hw-4,2049-05-01,9.435298897493224e-20
hw-4,2049-06-01,9.435298897493224e-20
hw-4,2049-07-01,9.435298897493224e-20
hw-4,2049-08-01,9.435298897493224e-20
hw-4,2049-09-01,9.435298897493224e-20
hw-4,2049-10-01,9.435298897493224e-20
hw-4,2049-11-01,9.435298897493224e-20
hw-4,2049-12-01,9.435298897493224e-20
hw-4,2050-01-01,9.435298897493224e-20
hw-5,2048-02-01,9.435298897493224e-20
hw-5,2048-03-01,9.435298897493224e-20
