cat,date,fcst
hw-3,2048-02-01,541.85
hw-3,2048-03-01,542.33
hw-3,2048-04-01,540.01
hw-3,2048-05-01,540.01
hw-3,2048-06-01,538.53
hw-3,2048-07-01,544.44
hw-3,2048-08-01,547.04
hw-3,2048-09-01,546.65
hw-3,2048-10-01,546.94
hw-3,2048-11-01,544.56
hw-3,2048-12-01,545.24
hw-3,2049-01-01,545.14
hw-3,2049-02-01,550.06
hw-3,2049-03-01,541.67
hw-3,2049-04-01,542.97
hw-3,2049-05-01,558.34
hw-3,2049-06-01,556.62
hw-3,2049-07-01,563.77
hw-3,2049-08-01,560.65
hw-3,2049-09-01,558.11
hw-3,2049-10-01,556.64
hw-3,2049-11-01,553.61
hw-3,2049-12-01,557.78
hw-3,2050-01-01,556.24
hw-4,2048-02-01,0.0
hw-4,2048-03-01,0.0
hw-4,2048-04-01,0.0
hw-4,2048-05-01,0.0
hw-4,2048-06-01,0.0
hw-4,2048-07-01,0.0
hw-4,2048-08-01,0.0
hw-4,2048-09-01,0.0
hw-4,2048-10-01,0.0
hw-4,2048-11-01,0.0
hw-4,2048-12-01,0.0
hw-4,2049-01-01,0.0
hw-4,2049-02-01,0.0
hw-4,2049-03-01,0.0
hw-4,2049-04-01,0.0
hw-4,2049-05-01,0.0
hw-4,2049-06-01,0.0
hw-4,2049-07-01,0.0
hw-4,2049-08-01,0.0
hw-4,2049-09-01,0.0
hw-4,2049-10-01,0.0
hw-4,2049-11-01,0.0
hw-4,2049-12-01,0.0
hw-4,2050-01-01,0.0
hw-5,2048-02-01,0.0
hw-5,2048-03-01,0.0
hw-5,2048-04-01,0.0
hw-5,2048-05-01,0.0
hw-5,2048-06-01,0.0
hw-5,2048-07-01,0.0
hw-5,2048-08-01,0.0
hw-5,2048-09-01,0.0
hw-5,2048-10-01,0.0
hw-5,2048-11-01,0.0
hw-5,2048-12-01,0.0
hw-5,2049-01-01,0.0
hw-5,2049-02-01,0.0
hw-5,2049-03-01,0.0
hw-5,2049-04-01,0.0
hw-5,2049-05-01,0.0
hw-5,2049-06-01,0.0
hw-5,2049-07-01,0.0
hw-5,2049-08-01,0.0
hw-5,2049-09-01,0.0
hw-5,2049-10-01,0.0
hw-5,2049-11-01,0.0
hw-5,2049-12-01,0.0
hw-5,2050-01-01,0.0
hw-6,2048-02-01,1025.94
hw-6,2048-03-01,1033.8
hw-6,2048-04-01,1035.59
hw-6,2048-05-01,1034.64
hw-6,2048-06-01,1033.19
hw-6,2048-07-01,1033.48
hw-6,2048-08-01,1041.33
hw-6,2048-09-01,1041.33
hw-6,2048-10-01,1042.58
hw-6,2048-11-01,1045.96
hw-6,2048-12-01,1042.65
hw-6,2049-01-01,1046.92
hw-6,2049-02-01,1004.84
hw-6,2049-03-01,1039.14
hw-6,2049-04-01,1008.53
hw-6,2049-05-01,1048.21
hw-6,2049-06-01,1012.91
hw-6,2049-07-01,1042.56
hw-6,2049-08-01,1044.37
hw-6,2049-09-01,1043.25
hw-6,2049-10-01,1049.74
hw-6,2049-11-01,1070.49
hw-6,2049-12-01,1081.81
hw-6,2050-01-01,1082.77
hw-7,2048-02-01,0.0
hw-7,2048-03-01,0.0
hw-7,2048-04-01,0.0
hw-7,2048-05-01,0.0
hw-7,2048-06-01,0.0
hw-7,2048-07-01,0.0
hw-7,2048-08-01,0.0
hw-7,2048-09-01,0.0
hw-7,2048-10-01,0.0
hw-7,2048-11-01,0.0
hw-7,2048-12-01,0.0
hw-7,2049-01-01,0.0
hw-7,2049-02-01,0.0
hw-7,2049-03-01,0.0
hw-7,2049-04-01,0.0
hw-7,2049-05-01,0.0
hw-7,2049-06-01,0.0
hw-7,2049-07-01,0.0
hw-7,2049-08-01,0.0
hw-7,2049-09-01,0.0
hw-7,2049-10-01,0.0
hw-7,2049-11-01,0.0
hw-7,2049-12-01,0.0
hw-7,2050-01-01,0.0
hw-8,2048-02-01,0.0
hw-8,2048-03-01,0.0
hw-8,2048-04-01,0.0
hw-8,2048-05-01,0.0
hw-8,2048-06-01,0.0
hw-8,2048-07-01,0.0
hw-8,2048-08-01,0.0
hw-8,2048-09-01,0.0
hw-8,2048-10-01,0.0
hw-8,2048-11-01,0.0
hw-8,2048-12-01,0.0
hw-8,2049-01-01,0.0
hw-8,2049-02-01,0.0
hw-8,2049-03-01,0.0
hw-8,2049-04-01,0.0
hw-8,2049-05-01,0.0
hw-8,2049-06-01,0.0
hw-8,2049-07-01,0.0
hw-8,2049-08-01,0.0
hw-8,2049-09-01,0.0
hw-8,2049-10-01,0.0
hw-8,2049-11-01,0.0
hw-8,2049-12-01,0.0
hw-8,2050-01-01,0.0
hw-9,2048-02-01,527.6
hw-9,2048-03-01,527.45
hw-9,2048-04-01,527.08
hw-9,2048-05-01,527.1
hw-9,2048-06-01,525.53
hw-9,2048-07-01,523.23
hw-9,2048-08-01,518.17
hw-9,2048-09-01,516.95
hw-9,2048-10-01,518.33
hw-9,2048-11-01,518.42
hw-9,2048-12-01,513.71
hw-9,2049-01-01,511.74
hw-9,2049-02-01,468.68
hw-9,2049-03-01,440.82
hw-9,2049-04-01,423.6
hw-9,2049-05-01,386.78
hw-9,2049-06-01,313.84
hw-9,2049-07-01,322.25
hw-9,2049-08-01,308.23
hw-9,2049-09-01,316.23
hw-9,2049-10-01,320.02
hw-9,2049-11-01,311.16
hw-9,2049-12-01,300.56
hw-9,2050-01-01,318.96
hw-10,2048-02-01,89.71
hw-10,2048-03-01,84.88
hw-10,2048-04-01,83.38
hw-10,2048-05-01,83.38
hw-10,2048-06-01,83.38
hw-10,2048-07-01,83.38
hw-10,2048-08-01,83.38
hw-10,2048-09-01,81.51
hw-10,2048-10-01,81.51
hw-10,2048-11-01,81.51
hw-10,2048-12-01,81.51
hw-10,2049-01-01,81.51
hw-10,2049-02-01,73.59
hw-10,2049-03-01,77.06
hw-10,2049-04-01,74.39
hw-10,2049-05-01,75.69
hw-10,2049-06-01,71.37
hw-10,2049-07-01,71.97
hw-10,2049-08-01,77.99
hw-10,2049-09-01,81.72
hw-10,2049-10-01,80.62
hw-10,2049-11-01,80.66
hw-10,2049-12-01,78.47
hw-10,2050-01-01,77.27
hw-24,2048-02-01,659.16
hw-24,2048-03-01,661.77
hw-24,2048-04-01,667.98
hw-24,2048-05-01,674.18
hw-24,2048-06-01,672.75
hw-24,2048-07-01,665.06
hw-24,2048-08-01,656.46
